z6-12544,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port7,Port7,Port8,Port8
# Records: 3048,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Battery,Battery,Barometer,Barometer
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2025/11/20 00:00:00,0.26,13.3,0.875,0.252,12.9,0.383,0.287,13.7,0.907,90,7720,97.0,13.8
2025/11/20 01:00:00,0.259,13.2,0.876,0.252,13.0,0.384,0.287,13.7,0.907,90,7721,96.99,12.9
2025/11/20 02:00:00,0.259,13.0,0.883,0.252,13.0,0.384,0.287,13.7,0.909,90,7719,96.91,12.4
2025/11/20 03:00:00,0.259,12.9,0.883,0.252,13.1,0.384,0.287,13.7,0.911,90,7719,96.94,11.7
2025/11/20 04:00:00,0.259,12.8,0.886,0.252,13.1,0.384,0.287,13.8,0.911,90,7716,96.92,11.6
2025/11/20 05:00:00,0.259,12.8,0.884,0.252,13.2,0.383,0.287,13.8,0.911,90,7718,96.93,11.4
2025/11/20 06:00:00,0.259,12.7,0.886,0.252,13.2,0.383,0.287,13.8,0.911,90,7717,96.87,10.9
2025/11/20 07:00:00,0.259,12.6,0.887,0.252,13.2,0.385,0.287,13.8,0.913,88,7705,96.85,11.1
2025/11/20 08:00:00,0.259,12.6,0.887,0.252,13.1,0.385,0.287,13.8,0.91,88,7703,96.81,10.0
2025/11/20 09:00:00,0.259,12.5,0.888,0.253,13.1,0.386,0.287,13.8,0.911,88,7704,96.84,8.8
2025/11/20 10:00:00,0.259,12.3,0.888,0.253,13.1,0.385,0.287,13.8,0.911,88,7703,96.84,8.6
2025/11/20 11:00:00,0.259,12.1,0.889,0.253,13.1,0.385,0.287,13.8,0.911,88,7706,96.78,8.5
2025/11/20 12:00:00,0.259,12.0,0.887,0.253,13.1,0.387,0.287,13.8,0.908,88,7705,96.76,8.2
2025/11/20 13:00:00,0.259,11.9,0.888,0.253,13.0,0.388,0.287,13.8,0.911,88,7701,96.74,8.1
2025/11/20 14:00:00,0.259,11.8,0.886,0.253,13.0,0.389,0.287,13.8,0.911,88,7703,96.75,7.8
2025/11/20 15:00:00,0.259,11.7,0.889,0.253,13.0,0.388,0.287,13.8,0.91,88,7707,96.77,7.8
2025/11/20 16:00:00,0.259,11.8,0.887,0.253,12.9,0.387,0.287,13.8,0.911,90,7717,96.83,8.4
2025/11/20 17:00:00,0.259,11.9,0.884,0.253,12.9,0.388,0.287,13.8,0.911,91,7732,96.88,10.2
2025/11/20 18:00:00,0.259,12.2,0.881,0.253,12.8,0.389,0.287,13.8,0.91,95,7764,96.83,12.0
2025/11/20 19:00:00,0.259,12.5,0.88,0.253,12.8,0.389,0.287,13.8,0.91,100,7837,96.76,14.3
2025/11/20 20:00:00,0.259,12.9,0.876,0.253,12.8,0.388,0.287,13.8,0.91,100,7871,96.7,16.2
2025/11/20 21:00:00,0.258,13.3,0.875,0.253,12.9,0.386,0.287,13.8,0.91,100,7880,96.66,15.5
2025/11/20 22:00:00,0.258,13.5,0.873,0.253,13.0,0.388,0.287,13.8,0.91,100,7875,96.66,14.2
2025/11/20 23:00:00,0.258,13.5,0.875,0.253,13.1,0.388,0.287,13.8,0.91,100,7870,96.68,13.1
2025/11/21 00:00:00,0.258,13.4,0.878,0.253,13.2,0.388,0.287,13.8,0.91,100,7866,96.63,11.9
2025/11/21 01:00:00,0.258,13.2,0.879,0.253,13.2,0.388,0.287,13.8,0.91,100,7865,96.6,10.8
2025/11/21 02:00:00,0.258,13.0,0.884,0.253,13.3,0.388,0.287,13.8,0.91,100,7862,96.66,9.9
2025/11/21 03:00:00,0.258,12.9,0.889,0.253,13.3,0.388,0.286,13.8,0.911,100,7859,96.67,9.2
2025/11/21 04:00:00,0.258,12.7,0.891,0.252,13.3,0.389,0.286,13.8,0.912,100,7858,96.59,8.8
2025/11/21 05:00:00,0.294,12.5,0.822,0.252,13.3,0.389,0.286,13.8,0.911,100,7857,96.57,8.8
2025/11/21 06:00:00,0.339,12.3,0.779,0.252,13.3,0.389,0.286,13.8,0.912,100,7855,96.53,8.5
2025/11/21 07:00:00,0.36,12.1,0.845,0.253,13.2,0.389,0.286,13.8,0.913,100,7851,96.47,7.9
2025/11/21 08:00:00,0.378,11.9,0.93,0.253,13.2,0.388,0.286,13.9,0.913,100,7849,96.44,7.7
2025/11/21 09:00:00,0.389,11.6,0.977,0.253,13.1,0.388,0.286,13.9,0.917,100,7851,96.33,7.5
2025/11/21 10:00:00,0.377,11.5,1.009,0.268,13.0,0.367,0.286,13.9,0.917,100,7847,96.29,7.6
2025/11/21 11:00:00,0.372,11.4,1.015,0.285,12.9,0.336,0.286,13.9,0.917,100,7846,96.29,7.8
2025/11/21 12:00:00,0.377,11.4,1.009,0.294,12.9,0.309,0.286,13.9,0.917,100,7846,96.3,8.0
2025/11/21 13:00:00,0.399,11.2,0.969,0.325,12.8,0.431,0.286,13.8,0.899,100,7845,96.28,7.8
2025/11/21 14:00:00,0.384,11.0,1.0,0.338,12.7,1.084,0.286,13.8,0.885,100,7841,96.32,7.4
2025/11/21 15:00:00,0.379,11.0,1.001,0.336,12.6,1.21,0.286,13.8,0.894,100,7841,96.36,6.9
2025/11/21 16:00:00,0.38,10.9,0.996,0.337,12.5,1.262,0.287,13.8,0.919,100,7844,96.38,6.8
2025/11/21 17:00:00,0.379,10.9,0.992,0.338,12.5,1.301,0.287,13.8,0.937,100,7843,96.41,7.1
2025/11/21 18:00:00,0.375,10.9,0.988,0.336,12.4,1.321,0.287,13.8,0.945,100,7842,96.4,7.2
2025/11/21 19:00:00,0.382,10.9,0.972,0.338,12.4,1.333,0.288,13.7,0.949,100,7845,96.38,7.2
2025/11/21 20:00:00,0.378,10.9,0.972,0.339,12.3,1.348,0.288,13.7,0.935,100,7844,96.37,7.1
2025/11/21 21:00:00,0.376,10.9,0.974,0.337,12.3,1.352,0.288,13.6,0.938,100,7841,96.4,6.8
2025/11/21 22:00:00,0.378,10.8,0.964,0.339,12.2,1.364,0.288,13.6,0.946,100,7843,96.45,6.6
2025/11/21 23:00:00,0.374,10.8,0.962,0.338,12.2,1.374,0.288,13.6,0.977,100,7838,96.49,6.0
2025/11/22 00:00:00,0.37,10.7,0.966,0.336,12.2,1.377,0.288,13.6,1.102,100,7834,96.59,5.1
2025/11/22 01:00:00,0.367,10.6,0.968,0.334,12.2,1.386,0.288,13.5,1.307,100,7836,96.66,4.8
2025/11/22 02:00:00,0.364,10.5,0.971,0.333,12.1,1.391,0.289,13.5,1.454,100,7837,96.7,4.7
2025/11/22 03:00:00,0.362,10.4,0.968,0.332,12.1,1.393,0.289,13.5,1.571,100,7834,96.8,4.7
2025/11/22 04:00:00,0.361,10.3,0.969,0.33,12.0,1.397,0.29,13.4,1.685,100,7831,96.87,4.7
2025/11/22 05:00:00,0.359,10.2,0.971,0.329,12.0,1.398,0.291,13.4,1.799,100,7831,96.91,4.6
2025/11/22 06:00:00,0.358,10.1,0.968,0.329,12.0,1.401,0.291,13.4,1.907,100,7830,96.94,4.5
2025/11/22 07:00:00,0.357,10.0,0.965,0.328,11.9,1.404,0.292,13.4,1.994,100,7814,96.99,4.5
2025/11/22 08:00:00,0.356,10.0,0.97,0.327,11.8,1.407,0.293,13.4,2.071,100,7816,97.02,4.1
2025/11/22 09:00:00,0.355,9.8,0.973,0.327,11.8,1.405,0.293,13.3,2.131,100,7814,97.01,2.4
2025/11/22 10:00:00,0.354,9.7,0.976,0.326,11.8,1.411,0.294,13.3,2.197,100,7811,97.01,1.2
2025/11/22 11:00:00,0.354,9.4,0.976,0.326,11.7,1.41,0.295,13.3,2.242,100,7810,97.01,0.3
2025/11/22 12:00:00,0.353,9.2,0.976,0.325,11.6,1.405,0.296,13.3,2.277,100,7809,97.03,-0.1
2025/11/22 13:00:00,0.353,8.9,0.974,0.325,11.6,1.407,0.298,13.2,2.318,100,7809,97.1,-0.2
2025/11/22 14:00:00,0.352,8.7,0.974,0.325,11.5,1.412,0.299,13.2,2.352,100,7827,97.12,0.1
2025/11/22 15:00:00,0.352,8.6,0.974,0.324,11.4,1.42,0.301,13.2,2.381,100,7911,97.22,4.2
2025/11/22 16:00:00,0.351,8.6,0.97,0.324,11.3,1.425,0.303,13.2,2.404,100,8007,97.3,9.3
2025/11/22 17:00:00,0.351,8.8,0.966,0.324,11.2,1.423,0.305,13.1,2.416,100,8096,97.34,13.3
2025/11/22 18:00:00,0.35,9.2,0.964,0.323,11.1,1.425,0.306,13.1,2.439,100,8180,97.34,16.8
2025/11/22 19:00:00,0.35,9.8,0.959,0.323,11.1,1.425,0.308,13.0,2.428,100,8246,97.27,19.2
2025/11/22 20:00:00,0.349,10.4,0.956,0.323,11.1,1.426,0.31,13.0,2.45,100,8296,97.2,20.3
2025/11/22 21:00:00,0.347,11.0,0.957,0.323,11.1,1.426,0.312,13.0,2.462,100,8330,97.15,20.3
2025/11/22 22:00:00,0.347,11.4,0.953,0.323,11.2,1.426,0.314,12.9,2.475,100,8330,97.15,19.4
2025/11/22 23:00:00,0.346,11.6,0.961,0.323,11.4,1.416,0.315,12.9,2.467,100,8310,97.16,17.4
2025/11/23 00:00:00,0.345,11.6,0.962,0.323,11.5,1.422,0.317,12.9,2.458,100,8292,97.19,13.2
2025/11/23 01:00:00,0.345,11.4,0.968,0.322,11.6,1.426,0.318,12.9,2.489,100,8286,97.23,11.2
2025/11/23 02:00:00,0.345,11.2,0.967,0.322,11.7,1.43,0.32,12.9,2.504,100,8278,97.27,10.2
2025/11/23 03:00:00,0.344,11.0,0.962,0.322,11.7,1.43,0.321,12.9,2.507,100,8270,97.28,9.6
2025/11/23 04:00:00,0.344,10.9,0.963,0.322,11.8,1.427,0.322,12.9,2.5,100,8265,97.29,9.4
2025/11/23 05:00:00,0.344,10.8,0.968,0.322,11.8,1.431,0.323,12.9,2.492,100,8261,97.3,8.6
2025/11/23 06:00:00,0.344,10.7,0.972,0.321,11.8,1.428,0.324,12.9,2.52,100,8257,97.3,8.1
2025/11/23 07:00:00,0.344,10.6,0.97,0.321,11.8,1.429,0.325,12.9,2.524,100,8246,97.32,7.4
2025/11/23 08:00:00,0.344,10.4,0.972,0.321,11.7,1.433,0.327,12.9,2.534,100,8243,97.32,5.8
2025/11/23 09:00:00,0.343,10.2,0.973,0.321,11.7,1.433,0.328,12.9,2.533,100,8241,97.29,5.1
2025/11/23 10:00:00,0.343,10.0,0.974,0.321,11.7,1.434,0.329,12.9,2.533,100,8237,97.28,5.6
2025/11/23 11:00:00,0.343,9.9,0.97,0.321,11.6,1.435,0.33,12.9,2.533,100,8234,97.25,5.2
2025/11/23 12:00:00,0.343,9.8,0.972,0.321,11.6,1.436,0.331,12.9,2.521,100,8234,97.22,4.5
2025/11/23 13:00:00,0.343,9.6,0.972,0.321,11.5,1.436,0.332,12.9,2.52,100,8228,97.23,4.4
2025/11/23 14:00:00,0.343,9.5,0.971,0.32,11.5,1.434,0.332,12.9,2.532,100,8244,97.24,5.0
2025/11/23 15:00:00,0.343,9.4,0.969,0.32,11.4,1.428,0.333,12.9,2.537,100,8323,97.27,8.7
2025/11/23 16:00:00,0.343,9.5,0.967,0.32,11.3,1.426,0.334,12.9,2.537,100,8394,97.31,14.5
2025/11/23 17:00:00,0.342,9.8,0.964,0.32,11.3,1.427,0.335,12.9,2.536,100,8444,97.26,18.7
2025/11/23 18:00:00,0.342,10.3,0.958,0.32,11.3,1.43,0.336,12.8,2.531,100,8472,97.14,22.0
2025/11/23 19:00:00,0.342,10.9,0.957,0.32,11.3,1.427,0.337,12.8,2.538,100,8487,97.02,23.5
2025/11/23 20:00:00,0.341,11.5,0.957,0.32,11.3,1.43,0.338,12.8,2.532,100,8487,96.94,23.6
2025/11/23 21:00:00,0.34,12.0,0.952,0.32,11.4,1.436,0.339,12.8,2.533,100,8475,96.88,23.2
2025/11/23 22:00:00,0.339,12.4,0.955,0.32,11.5,1.439,0.339,12.8,2.53,100,8447,96.85,21.6
2025/11/23 23:00:00,0.338,12.5,0.959,0.32,11.7,1.438,0.34,12.8,2.531,100,8409,96.84,17.5
2025/11/24 00:00:00,0.338,12.5,0.962,0.32,11.8,1.434,0.34,12.8,2.538,100,8390,96.82,13.8
2025/11/24 01:00:00,0.338,12.3,0.963,0.32,12.0,1.434,0.341,12.8,2.54,100,8378,96.8,11.9
2025/11/24 02:00:00,0.337,12.0,0.967,0.319,12.0,1.437,0.342,12.8,2.536,100,8368,96.96,11.0
2025/11/24 03:00:00,0.337,11.8,0.972,0.319,12.1,1.434,0.342,12.8,2.521,100,8357,96.89,10.3
2025/11/24 04:00:00,0.337,11.7,0.971,0.319,12.2,1.434,0.343,12.8,2.499,100,8352,96.77,10.0
2025/11/24 05:00:00,0.337,11.6,0.967,0.319,12.2,1.431,0.343,12.8,2.502,100,8346,96.59,9.6
2025/11/24 06:00:00,0.337,11.5,0.964,0.319,12.2,1.431,0.344,12.9,2.515,100,8339,96.64,8.7
2025/11/24 07:00:00,0.337,11.3,0.969,0.319,12.2,1.431,0.344,12.9,2.535,100,8321,96.66,8.4
2025/11/24 08:00:00,0.337,11.2,0.971,0.319,12.1,1.429,0.345,12.9,2.538,100,8316,96.67,8.7
2025/11/24 09:00:00,0.337,11.2,0.971,0.319,12.1,1.436,0.345,12.9,2.534,100,8311,96.63,8.8
2025/11/24 10:00:00,0.337,11.2,0.971,0.319,12.1,1.439,0.345,12.9,2.532,100,8308,96.61,8.9
2025/11/24 11:00:00,0.337,11.2,0.971,0.319,12.1,1.436,0.346,13.0,2.535,100,8306,96.54,8.7
