z6-12554,,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port7,Port7,Port8,Port8, 
# Records: 3050,,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
2025/11/19 22:00:00,40661,25124,6427,2298,25728,6325,2372,22982,6340,1881,2100,8590,9672,6878,UTC+00:00
2025/11/19 23:00:00,40662,25120,6449,2301,25725,6343,2371,22982,6340,1881,2100,8558,9672,6575,UTC+00:00
2025/11/20 00:00:00,40663,25117,6449,2302,25722,6360,2371,22982,6340,1882,2100,8531,9670,6398,UTC+00:00
2025/11/20 01:00:00,40664,25116,6435,2303,25721,6374,2372,22981,6340,1883,2100,8510,9667,6304,UTC+00:00
2025/11/20 02:00:00,40665,25117,6419,2303,25719,6380,2373,22982,6346,1883,2100,8496,9660,6225,UTC+00:00
2025/11/20 03:00:00,40666,25119,6404,2301,25718,6380,2373,22982,6350,1882,2100,8485,9662,6172,UTC+00:00
2025/11/20 04:00:00,40667,25121,6386,2302,25716,6380,2373,22982,6350,1882,2100,8472,9660,6161,UTC+00:00
2025/11/20 05:00:00,40668,25122,6377,2299,25713,6380,2373,22980,6355,1881,2100,8460,9661,6125,UTC+00:00
2025/11/20 06:00:00,40669,25126,6364,2300,25702,6380,2373,22972,6360,1881,2100,8451,9656,6084,UTC+00:00
2025/11/20 07:00:00,40671,25130,6352,2305,25706,6380,2373,22973,6360,1881,2100,8425,9652,6108,UTC+00:00
2025/11/20 08:00:00,40672,25131,6339,2303,25704,6378,2372,22974,6360,1881,2100,8419,9650,6032,UTC+00:00
2025/11/20 09:00:00,40673,25131,6325,2302,25705,6370,2372,22976,6360,1881,2100,8412,9653,5895,UTC+00:00
2025/11/20 10:00:00,40674,25134,6308,2302,25705,6367,2372,22976,6360,1881,2100,8408,9652,5886,UTC+00:00
2025/11/20 11:00:00,40675,25135,6292,2302,25706,6360,2371,22977,6360,1881,2100,8403,9647,5894,UTC+00:00
2025/11/20 12:00:00,40676,25135,6277,2302,25706,6354,2371,22977,6360,1881,2100,8396,9645,5852,UTC+00:00
2025/11/20 13:00:00,40677,25135,6264,2302,25707,6347,2371,22977,6360,1881,2100,8394,9644,5853,UTC+00:00
2025/11/20 14:00:00,40678,25136,6253,2301,25709,6340,2371,22979,6360,1878,2100,8388,9645,5906,UTC+00:00
2025/11/20 15:00:00,40679,25136,6240,2301,25710,6333,2371,22979,6360,1877,2100,8388,9646,5891,UTC+00:00
2025/11/20 16:00:00,40680,25135,6240,2298,25710,6326,2370,22979,6357,1878,2100,8404,9652,5973,UTC+00:00
2025/11/20 17:00:00,40681,25130,6244,2298,25711,6320,2370,22978,6350,1876,2100,8423,9656,6075,UTC+00:00
2025/11/20 18:00:00,40682,25123,6261,2298,25710,6320,2369,22979,6350,1875,2100,8463,9651,6221,UTC+00:00
2025/11/20 19:00:00,40683,25116,6285,2299,25710,6314,2368,22979,6350,1875,2100,8567,9644,6427,UTC+00:00
2025/11/20 20:00:00,40684,25110,6321,2299,25708,6320,2368,22980,6349,1876,2100,8580,9638,6619,UTC+00:00
2025/11/20 21:00:00,40685,25105,6360,2298,25707,6320,2368,22980,6340,1876,2100,8559,9634,6546,UTC+00:00
2025/11/20 22:00:00,40686,25102,6380,2298,25705,6331,2368,22979,6340,1878,2100,8530,9634,6416,UTC+00:00
2025/11/20 23:00:00,40687,25099,6385,2299,25704,6340,2368,22979,6340,1878,2100,8507,9636,6313,UTC+00:00
2025/11/21 00:00:00,40688,25099,6380,2299,25702,6349,2369,22980,6340,1878,2100,8492,9631,6190,UTC+00:00
2025/11/21 01:00:00,40689,25100,6366,2301,25701,6351,2369,22979,6340,1878,2100,8475,9628,6072,UTC+00:00
2025/11/21 02:00:00,40690,25101,6353,2300,25696,6360,2369,22976,6341,1877,2100,8465,9633,5970,UTC+00:00
2025/11/21 03:00:00,40691,25114,6337,2301,25685,6360,2369,22969,6350,1876,2100,8454,9634,5910,UTC+00:00
2025/11/21 04:00:00,40692,25144,6320,2301,25684,6352,2369,22974,6350,1877,2100,8446,9627,5888,UTC+00:00
2025/11/21 05:00:00,40693,25164,6300,2302,25688,6350,2369,22975,6350,1876,2100,8438,9625,5883,UTC+00:00
2025/11/21 06:00:00,40694,25355,6281,2301,25695,6344,2367,22975,6350,1876,2100,8431,9621,5859,UTC+00:00
2025/11/21 07:00:00,40696,26344,6262,2317,25957,6339,2364,22976,6350,1876,2100,8407,9615,5806,UTC+00:00
2025/11/21 08:00:00,40697,27182,6244,2386,26947,6329,2399,22976,6350,1878,2100,8403,9613,5775,UTC+00:00
2025/11/21 09:00:00,40698,27655,6225,2425,27830,6318,2500,22973,6350,1882,2100,8398,9599,5751,UTC+00:00
2025/11/21 10:00:00,40699,27579,6206,2431,27873,6307,2515,22998,6344,1944,2100,8393,9595,5755,UTC+00:00
2025/11/21 11:00:00,40700,27460,6194,2429,27819,6298,2515,23017,6340,2000,2100,8390,9597,5779,UTC+00:00
2025/11/21 12:00:00,40701,27634,6182,2436,27903,6287,2517,23036,6340,2038,2100,8387,9596,5799,UTC+00:00
2025/11/21 13:00:00,40702,27933,6167,2451,28174,6275,2528,23372,6336,2130,2100,8380,9597,5778,UTC+00:00
2025/11/21 14:00:00,40703,27654,6154,2455,28043,6262,2531,24552,6330,2171,2100,8377,9600,5732,UTC+00:00
2025/11/21 15:00:00,40704,27482,6146,2453,27919,6255,2531,24858,6326,2183,2100,8371,9602,5697,UTC+00:00
2025/11/21 16:00:00,40705,27773,6135,2459,28090,6246,2536,25102,6320,2198,2100,8370,9605,5673,UTC+00:00
2025/11/21 17:00:00,40706,27798,6124,2460,28144,6236,2542,25449,6316,2222,2100,8365,9608,5689,UTC+00:00
2025/11/21 18:00:00,40707,27580,6119,2460,28029,6227,2542,25567,6310,2232,2100,8360,9608,5697,UTC+00:00
2025/11/21 19:00:00,40708,27531,6110,2460,27997,6220,2541,25627,6305,2237,2100,8361,9605,5703,UTC+00:00
2025/11/21 20:00:00,40709,27410,6110,2457,27914,6214,2536,25657,6300,2242,2100,8356,9604,5689,UTC+00:00
2025/11/21 21:00:00,40710,27370,6110,2454,27865,6210,2536,25659,6297,2245,2100,8352,9607,5666,UTC+00:00
2025/11/21 22:00:00,40711,27464,6110,2456,27928,6203,2535,25699,6290,2251,2100,8350,9612,5652,UTC+00:00
2025/11/21 23:00:00,40712,27414,6106,2454,27915,6200,2537,25751,6287,2256,2100,8346,9616,5596,UTC+00:00
2025/11/22 00:00:00,40713,27318,6100,2452,27842,6199,2534,25754,6280,2259,2100,8344,9626,5507,UTC+00:00
2025/11/22 01:00:00,40714,27238,6092,2449,27781,6190,2532,25742,6280,2260,2100,8339,9633,5463,UTC+00:00
2025/11/22 02:00:00,40715,27175,6085,2446,27730,6190,2529,25728,6273,2261,2100,8336,9637,5454,UTC+00:00
2025/11/22 03:00:00,40716,27131,6077,2443,27684,6183,2525,25709,6270,2261,2100,8331,9648,5454,UTC+00:00
2025/11/22 04:00:00,40717,27093,6067,2441,27637,6180,2524,25695,6270,2261,2100,8328,9654,5452,UTC+00:00
2025/11/22 05:00:00,40718,27060,6060,2439,27591,6172,2523,25683,6260,2261,2100,8323,9658,5437,UTC+00:00
2025/11/22 06:00:00,40719,27031,6050,2434,27562,6170,2521,25673,6260,2262,2100,8320,9661,5433,UTC+00:00
2025/11/22 07:00:00,40721,27006,6042,2434,27539,6162,2521,25662,6260,2262,2100,8315,9667,5429,UTC+00:00
