z6-12553,,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port7,Port7,Port8,Port8, 
# Records: 3073,,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
2025/11/18 23:00:00,40483,23936,6309,1994,22755,6270,1750,24428,6350,2362,2100,8355,9671,6606,UTC+00:00
2025/11/19 00:00:00,40484,23864,6293,1955,22753,6279,1750,24422,6350,2362,2100,8352,9679,6198,UTC+00:00
2025/11/19 01:00:00,40485,23865,6263,1957,22754,6284,1749,24424,6350,2362,2100,8343,9687,5929,UTC+00:00
2025/11/19 02:00:00,40486,23866,6232,1958,22754,6290,1750,24425,6350,2362,2100,8336,9693,5760,UTC+00:00
2025/11/19 03:00:00,40487,23866,6204,1958,22754,6290,1750,24423,6350,2363,2100,8327,9701,5541,UTC+00:00
2025/11/19 04:00:00,40488,23868,6175,1959,22754,6281,1752,24425,6350,2363,2100,8320,9705,5362,UTC+00:00
2025/11/19 05:00:00,40489,23870,6145,1957,22754,6280,1752,24426,6350,2363,2100,8317,9707,5268,UTC+00:00
2025/11/19 06:00:00,40490,23870,6115,1957,22753,6271,1751,24425,6350,2364,2100,8313,9709,5194,UTC+00:00
2025/11/19 07:00:00,40492,23873,6084,1957,22753,6262,1753,24424,6350,2364,2100,8291,9708,5173,UTC+00:00
2025/11/19 08:00:00,40493,23872,6062,1954,22754,6254,1751,24425,6350,2363,2100,8291,9710,5259,UTC+00:00
2025/11/19 09:00:00,40494,23870,6050,1954,22752,6243,1749,24426,6350,2363,2100,8292,9716,5374,UTC+00:00
2025/11/19 10:00:00,40495,23866,6050,1954,22752,6233,1750,24425,6350,2364,2100,8287,9716,5395,UTC+00:00
2025/11/19 11:00:00,40496,23870,6048,1951,22751,6223,1749,24425,6350,2364,2100,8283,9716,5392,UTC+00:00
2025/11/19 12:00:00,40497,23867,6040,1952,22751,6217,1749,24425,6350,2363,2100,8284,9717,5388,UTC+00:00
2025/11/19 13:00:00,40498,23867,6039,1950,22750,6210,1749,24426,6350,2363,2100,8282,9721,5393,UTC+00:00
2025/11/19 14:00:00,40499,23864,6030,1951,22750,6201,1748,24426,6343,2364,2100,8277,9725,5412,UTC+00:00
2025/11/19 15:00:00,40500,23862,6030,1950,22751,6199,1748,24424,6340,2364,2100,8285,9729,5485,UTC+00:00
2025/11/19 16:00:00,40501,23857,6039,1950,22750,6190,1749,24425,6340,2364,2100,8341,9733,5759,UTC+00:00
2025/11/19 17:00:00,40502,23851,6062,1949,22750,6190,1749,24425,6340,2364,2100,8419,9733,6198,UTC+00:00
2025/11/19 18:00:00,40503,23843,6094,1949,22750,6185,1749,24424,6340,2364,2100,8518,9727,6441,UTC+00:00
2025/11/19 19:00:00,40504,23834,6137,1948,22750,6187,1749,24425,6340,2364,2100,8579,9718,6785,UTC+00:00
2025/11/19 20:00:00,40505,23828,6183,1947,22750,6190,1749,24424,6334,2364,2100,8586,9711,6987,UTC+00:00
2025/11/19 21:00:00,40506,23821,6223,1948,22751,6197,1748,24424,6330,2363,2100,8620,9703,7068,UTC+00:00
2025/11/19 22:00:00,40507,23813,6255,1949,22754,6206,1748,24423,6330,2363,2100,8550,9700,6962,UTC+00:00
2025/11/19 23:00:00,40508,23810,6260,1950,22756,6218,1749,24423,6330,2362,2100,8509,9700,6579,UTC+00:00
2025/11/20 00:00:00,40509,23808,6257,1951,22758,6228,1750,24423,6330,2363,2100,8485,9698,6364,UTC+00:00
2025/11/20 01:00:00,40510,23806,6245,1952,22758,6239,1750,24424,6330,2362,2100,8466,9696,6269,UTC+00:00
2025/11/20 02:00:00,40511,23806,6235,1953,22759,6242,1749,24423,6330,2362,2100,8450,9688,6205,UTC+00:00
2025/11/20 03:00:00,40512,23805,6225,1951,22759,6250,1749,24423,6330,2363,2100,8434,9690,6164,UTC+00:00
2025/11/20 04:00:00,40513,23804,6220,1950,22760,6250,1751,24424,6330,2362,2100,8422,9689,6147,UTC+00:00
2025/11/20 05:00:00,40514,23803,6210,1952,22759,6250,1750,24423,6330,2363,2100,8411,9690,6118,UTC+00:00
2025/11/20 06:00:00,40515,23802,6210,1952,22757,6250,1752,24421,6330,2364,2100,8403,9683,6072,UTC+00:00
2025/11/20 07:00:00,40517,23798,6200,1950,22762,6250,1752,24427,6330,2364,2100,8384,9680,6086,UTC+00:00
2025/11/20 08:00:00,40518,23796,6200,1949,22762,6250,1751,24426,6330,2363,2100,8376,9678,6006,UTC+00:00
2025/11/20 09:00:00,40519,23796,6188,1950,22763,6250,1753,24427,6330,2363,2100,8371,9682,5858,UTC+00:00
