z6-12556,,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port7,Port7,Port8,Port8, 
# Records: 3169,,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
2025/11/14 23:00:00,39251,65534,65534,65534,65534,65534,65534,65534,65534,65534,2100,8206,9657,7396,UTC+00:00
2025/11/15 00:00:00,39252,24318,6630,2453,65534,65534,65534,65534,65534,65534,2100,8200,9657,6871,UTC+00:00
2025/11/15 01:00:00,39253,24309,6617,2455,65534,65534,65534,65534,65534,65534,2100,8193,9657,6545,UTC+00:00
2025/11/15 02:00:00,39254,24301,6592,2453,65534,65534,65534,65534,65534,65534,2100,8187,9655,6510,UTC+00:00
2025/11/15 03:00:00,39255,24298,6570,2451,65534,65534,65534,65534,65534,65534,2100,8183,9650,6620,UTC+00:00
2025/11/15 04:00:00,39256,24303,6555,2453,65534,65534,65534,65534,65534,65534,2100,8179,9647,6629,UTC+00:00
2025/11/15 05:00:00,39257,24298,6544,2452,65534,65534,65534,65534,65534,65534,2100,8175,9646,6621,UTC+00:00
2025/11/15 06:00:00,39258,24292,6532,2451,65534,65534,65534,65534,65534,65534,2100,8168,9644,6483,UTC+00:00
2025/11/15 07:00:00,39260,24290,6518,2451,65534,65534,65534,65534,65534,65534,2100,8158,9639,6425,UTC+00:00
2025/11/15 08:00:00,39261,24289,6502,2449,65534,65534,65534,65534,65534,65534,2100,8153,9632,6406,UTC+00:00
2025/11/15 09:00:00,39262,24287,6486,2451,65534,65534,65534,65534,65534,65534,2100,8148,9629,6427,UTC+00:00
2025/11/15 10:00:00,39263,24287,6471,2449,65534,65534,65534,65534,65534,65534,2100,8141,9629,6327,UTC+00:00
2025/11/15 11:00:00,39264,24286,6455,2452,65534,65534,65534,65534,65534,65534,2100,8137,9626,6225,UTC+00:00
2025/11/15 12:00:00,39265,24281,6437,2450,65534,65534,65534,65534,65534,65534,2100,8126,9623,6070,UTC+00:00
2025/11/15 13:00:00,39266,24279,6417,2449,65534,65534,65534,65534,65534,65534,2100,8122,9621,5957,UTC+00:00
2025/11/15 14:00:00,39267,24276,6396,2447,65534,65534,65534,65534,65534,65534,2100,8116,9628,5852,UTC+00:00
2025/11/15 15:00:00,39268,24274,6376,2449,65534,65534,65534,65534,65534,65534,2100,8127,9645,6040,UTC+00:00
2025/11/15 16:00:00,39269,24275,6370,2446,65534,65534,65534,65534,65534,65534,2100,8156,9654,6465,UTC+00:00
2025/11/15 17:00:00,39270,24275,6377,2447,65534,65534,65534,65534,65534,65534,2100,8200,9657,6917,UTC+00:00
2025/11/15 18:00:00,39271,24281,6405,2448,65534,65534,65534,65534,65534,65534,2100,8232,9657,7271,UTC+00:00
2025/11/15 19:00:00,39272,24288,6449,2449,65534,65534,65534,65534,65534,65534,2100,8248,9655,7459,UTC+00:00
2025/11/15 20:00:00,39273,24289,6497,2450,65534,65534,65534,65534,65534,65534,2100,8263,9653,7562,UTC+00:00
