Configuration,Device Name,Station_16
,Site Name,Soil Water Lab
,Serial Number,20905
,Device Type,192
,Firmware Version,208
,Hardware Version,unknown
,Measurement Interval,3600
,,
Software,Software Version,2.14.85
,,
Location,Latitude,39.0902032
,Longitude,-96.5952571
,Logger Time,2026-01-03 12:01:11.941171+00:00
,Current Time Zone,UTC+00:00
,Satellite Vehicles,13
,GPS Fix Status,7
,Horizontal Accuracy,934
,Altitude,404343
,,
Cellular Hardware,SIM Number,8944502210209737666
,Modem Firmware Version,508
,Modem Type,10
,,
Cellular Configuration,Queue Data,1
,Allow All Upload Hours,1
,Unrestricted Measurement Interval,0
,Four Reports per Hour,0
,Four Reports per Night,0
,,
Radio,Power,
,Channel,
,Firmware Version,
,,
Sensors,Port #,1
,Name,TEROS 12 Moisture/Temp/EC
,Serial Number,T12-00054145
,Meta,0
,Value,0
,Status,1
,Version,114
,Coefficient,Mineral
,,
,Port #,2
,Name,TEROS 12 Moisture/Temp/EC
,Serial Number,T12-00054151
,Meta,0
,Value,0
,Status,1
,Version,114
,Coefficient,Mineral
,,
,Port #,3
,Name,TEROS 12 Moisture/Temp/EC
,Serial Number,T12-00054138
,Meta,0
,Value,0
,Status,1
,Version,114
,Coefficient,Mineral
,,
,Port #,4
,Name,ATMOS 41 All-in-one Weather Station
,Serial Number,ATM-410006018
,Meta,6821
,Value,0
,Status,1
,Version,529
,Coefficient,
,,
,Port #,5
,Name,Barometer
,Serial Number,1619148578
,Meta,1619148578
,Value,0
,Status,1
,Version,100
,Coefficient,
