z6-12550,,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port7,Port7,Port8,Port8, 
# Records: 3051,,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
2025/11/19 21:00:00,35166,23965,6354,2173,23829,6269,1852,23908,6350,1898,2088,7705,9703,6996,UTC+00:00
2025/11/19 22:00:00,35167,23956,6386,2172,23830,6276,1853,23909,6350,1896,2090,7716,9701,6867,UTC+00:00
2025/11/19 23:00:00,35168,23941,6408,2173,23828,6292,1856,23909,6350,1896,2089,7710,9700,6585,UTC+00:00
2025/11/20 00:00:00,35169,23933,6400,2175,23828,6307,1856,23909,6350,1896,2088,7706,9698,6404,UTC+00:00
2025/11/20 01:00:00,35170,23926,6385,2174,23827,6321,1857,23909,6350,1896,2088,7704,9695,6314,UTC+00:00
2025/11/20 02:00:00,35171,23922,6373,2176,23827,6330,1857,23909,6350,1897,2088,7700,9687,6247,UTC+00:00
2025/11/20 03:00:00,35172,23921,6357,2175,23826,6339,1857,23910,6350,1896,2087,7698,9690,6185,UTC+00:00
2025/11/20 04:00:00,35173,23921,6344,2173,23827,6340,1857,23909,6350,1897,2087,7698,9689,6175,UTC+00:00
2025/11/20 05:00:00,35174,23922,6334,2172,23825,6340,1857,23910,6351,1897,2087,7694,9690,6145,UTC+00:00
2025/11/20 06:00:00,35175,23916,6323,2171,23822,6340,1857,23912,6360,1897,2087,7694,9683,6105,UTC+00:00
2025/11/20 07:00:00,35177,23918,6313,2171,23822,6340,1858,23912,6360,1898,2085,7679,9681,6123,UTC+00:00
2025/11/20 08:00:00,35178,23920,6302,2170,23823,6340,1857,23911,6360,1897,2085,7679,9678,6043,UTC+00:00
2025/11/20 09:00:00,35179,23922,6292,2167,23823,6340,1857,23912,6360,1897,2085,7678,9682,5900,UTC+00:00
2025/11/20 10:00:00,35180,23924,6276,2166,23823,6330,1857,23912,6360,1897,2085,7678,9681,5871,UTC+00:00
2025/11/20 11:00:00,35181,23927,6262,2168,23823,6330,1858,23912,6360,1897,2085,7674,9675,5860,UTC+00:00
2025/11/20 12:00:00,35182,23929,6247,2168,23824,6324,1858,23913,6360,1898,2085,7675,9673,5824,UTC+00:00
2025/11/20 13:00:00,35183,23931,6235,2167,23824,6320,1857,23912,6360,1898,2084,7672,9672,5819,UTC+00:00
2025/11/20 14:00:00,35184,23933,6224,2166,23825,6314,1858,23912,6360,1897,2084,7672,9673,5825,UTC+00:00
2025/11/20 15:00:00,35185,23935,6214,2165,23824,6310,1858,23913,6360,1897,2085,7679,9675,5845,UTC+00:00
2025/11/20 16:00:00,35186,23935,6210,2164,23825,6300,1858,23913,6360,1898,2087,7693,9680,5903,UTC+00:00
2025/11/20 17:00:00,35187,23934,6218,2164,23825,6300,1860,23913,6360,1898,2089,7713,9685,6038,UTC+00:00
2025/11/20 18:00:00,35188,23933,6234,2164,23825,6291,1859,23913,6360,1897,2094,7752,9680,6199,UTC+00:00
2025/11/20 19:00:00,35189,23934,6261,2164,23825,6290,1858,23913,6360,1897,2100,7834,9673,6412,UTC+00:00
2025/11/20 20:00:00,35190,23939,6304,2163,23825,6290,1857,23912,6360,1897,2100,7866,9667,6588,UTC+00:00
2025/11/20 21:00:00,35191,23934,6348,2161,23825,6300,1857,23913,6360,1897,2100,7872,9663,6531,UTC+00:00
2025/11/20 22:00:00,35192,23924,6373,2164,23824,6306,1858,23912,6360,1897,2100,7868,9663,6424,UTC+00:00
2025/11/20 23:00:00,35193,23916,6380,2165,23823,6317,1858,23912,6360,1897,2100,7864,9665,6323,UTC+00:00
2025/11/21 00:00:00,35194,23910,6370,2164,23824,6327,1858,23913,6360,1898,2100,7861,9660,6205,UTC+00:00
2025/11/21 01:00:00,35195,23907,6357,2164,23823,6335,1858,23913,6360,1898,2100,7856,9657,6093,UTC+00:00
2025/11/21 02:00:00,35196,23906,6344,2162,23822,6340,1859,23914,6360,1897,2100,7856,9663,5994,UTC+00:00
2025/11/21 03:00:00,35197,23901,6333,2161,23816,6340,1861,23916,6360,1897,2100,7850,9664,5929,UTC+00:00
2025/11/21 04:00:00,35198,24130,6316,2162,23809,6340,1863,23920,6360,1897,2100,7849,9657,5904,UTC+00:00
2025/11/21 05:00:00,35199,24907,6302,2164,23808,6340,1863,23921,6360,1897,2100,7849,9655,5900,UTC+00:00
2025/11/21 06:00:00,35200,25694,6286,2192,23809,6340,1862,23922,6360,1897,2100,7846,9651,5875,UTC+00:00
2025/11/21 07:00:00,35202,26229,6272,2246,23813,6335,1864,23923,6360,1896,2100,7830,9645,5823,UTC+00:00
2025/11/21 08:00:00,35203,26720,6257,2355,23819,6330,1867,23924,6360,1897,2100,7830,9643,5790,UTC+00:00
2025/11/21 09:00:00,35204,27172,6242,2426,23834,6323,1870,23923,6367,1897,2100,7829,9629,5768,UTC+00:00
2025/11/21 10:00:00,35205,26961,6226,2431,23879,6318,1874,23922,6370,1897,2100,7829,9626,5775,UTC+00:00
2025/11/21 11:00:00,35206,26852,6218,2431,24043,6310,1873,23923,6370,1894,2100,7829,9626,5799,UTC+00:00
2025/11/21 12:00:00,35207,26997,6209,2432,24261,6301,1871,23927,6362,1896,2100,7828,9627,5817,UTC+00:00
