z6-12557,,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port7,Port7,Port8,Port8, 
# Records: 3049,,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
2025/11/19 23:00:00,40718,24660,6135,2207,26095,6130,2602,23152,6220,2470,2100,8489,9683,6532,UTC+00:00
2025/11/20 00:00:00,40719,24658,6140,2208,26094,6137,2601,23152,6220,2472,2100,8481,9681,6347,UTC+00:00
2025/11/20 01:00:00,40720,24657,6149,2209,26092,6140,2602,23152,6220,2472,2100,8465,9679,6259,UTC+00:00
2025/11/20 02:00:00,40721,24655,6150,2210,26092,6150,2606,23152,6220,2472,2100,8453,9671,6204,UTC+00:00
2025/11/20 03:00:00,40722,24654,6142,2209,26090,6150,2606,23151,6220,2472,2100,8441,9673,6158,UTC+00:00
2025/11/20 04:00:00,40723,24654,6140,2209,26090,6150,2605,23151,6220,2472,2100,8430,9672,6144,UTC+00:00
2025/11/20 05:00:00,40724,24653,6140,2209,26089,6158,2604,23152,6220,2472,2100,8418,9673,6112,UTC+00:00
2025/11/20 06:00:00,40725,24655,6140,2209,26093,6160,2603,23157,6220,2472,2100,8412,9665,6076,UTC+00:00
2025/11/20 07:00:00,40727,24652,6140,2209,26091,6160,2603,23155,6220,2471,2100,8399,9663,6082,UTC+00:00
2025/11/20 08:00:00,40728,24650,6140,2209,26091,6160,2603,23155,6220,2472,2100,8390,9660,6001,UTC+00:00
2025/11/20 09:00:00,40729,24650,6140,2209,26090,6160,2603,23156,6220,2473,2100,8384,9663,5842,UTC+00:00
2025/11/20 10:00:00,40730,24650,6132,2208,26089,6160,2603,23156,6220,2473,2100,8376,9663,5813,UTC+00:00
2025/11/20 11:00:00,40731,24650,6122,2207,26088,6160,2603,23156,6220,2473,2100,8372,9657,5816,UTC+00:00
2025/11/20 12:00:00,40732,24650,6110,2208,26087,6160,2604,23156,6220,2473,2100,8368,9655,5790,UTC+00:00
2025/11/20 13:00:00,40733,24649,6110,2207,26087,6160,2605,23155,6220,2473,2100,8363,9654,5806,UTC+00:00
2025/11/20 14:00:00,40734,24648,6102,2208,26084,6160,2605,23154,6220,2473,2100,8355,9655,5814,UTC+00:00
2025/11/20 15:00:00,40735,24647,6100,2207,26083,6153,2605,23154,6220,2473,2100,8362,9657,5849,UTC+00:00
2025/11/20 16:00:00,40736,24645,6100,2207,26083,6150,2606,23154,6220,2472,2100,8376,9662,5928,UTC+00:00
2025/11/20 17:00:00,40737,24644,6105,2207,26080,6150,2605,23153,6220,2473,2100,8396,9667,6044,UTC+00:00
2025/11/20 18:00:00,40738,24641,6110,2206,26079,6150,2603,23151,6220,2472,2100,8431,9662,6146,UTC+00:00
2025/11/20 19:00:00,40739,24638,6118,2206,26078,6150,2603,23153,6220,2472,2100,8523,9655,6373,UTC+00:00
2025/11/20 20:00:00,40740,24635,6127,2206,26077,6150,2603,23151,6220,2472,2100,8539,9649,6568,UTC+00:00
2025/11/20 21:00:00,40741,24632,6138,2206,26077,6150,2605,23151,6220,2472,2100,8522,9646,6527,UTC+00:00
2025/11/20 22:00:00,40742,24630,6149,2206,26076,6153,2606,23151,6220,2472,2100,8496,9645,6407,UTC+00:00
2025/11/20 23:00:00,40743,24628,6154,2207,26075,6160,2605,23151,6220,2472,2100,8476,9647,6288,UTC+00:00
