z6-12555,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port7,Port7,Port8,Port8
# Records: 3169,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Battery,Battery,Barometer,Barometer
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2025/11/14 23:00:00,0.291,11.9,1.314,0.333,10.9,1.131,0.285,11.2,1.144,100,8437,96.93,23.9
2025/11/15 00:00:00,0.291,12.0,1.314,0.333,11.0,1.131,0.285,11.2,1.141,100,8401,96.92,17.4
2025/11/15 01:00:00,0.291,12.0,1.311,0.333,11.2,1.133,0.285,11.3,1.144,100,8390,96.91,12.6
2025/11/15 02:00:00,0.291,11.9,1.315,0.333,11.3,1.133,0.285,11.3,1.149,100,8382,96.9,15.9
2025/11/15 03:00:00,0.291,11.9,1.318,0.333,11.3,1.133,0.285,11.4,1.146,100,8369,96.85,16.8
2025/11/15 04:00:00,0.29,11.8,1.319,0.333,11.3,1.133,0.285,11.4,1.148,100,8360,96.82,16.4
2025/11/15 05:00:00,0.29,11.9,1.316,0.333,11.4,1.135,0.285,11.5,1.146,100,8349,96.82,15.7
2025/11/15 06:00:00,0.29,11.9,1.319,0.333,11.4,1.135,0.285,11.5,1.145,100,8336,96.8,14.5
2025/11/15 07:00:00,0.29,11.8,1.316,0.333,11.4,1.135,0.284,11.5,1.148,100,8314,96.75,14.3
2025/11/15 08:00:00,0.29,11.8,1.32,0.332,11.5,1.133,0.284,11.6,1.148,100,8308,96.68,13.9
2025/11/15 09:00:00,0.29,11.8,1.323,0.332,11.5,1.135,0.284,11.6,1.148,100,8298,96.64,11.7
2025/11/15 10:00:00,0.29,11.7,1.324,0.332,11.5,1.133,0.284,11.7,1.147,100,8292,96.62,8.5
2025/11/15 11:00:00,0.29,11.6,1.327,0.332,11.5,1.133,0.284,11.7,1.147,100,8288,96.58,6.7
2025/11/15 12:00:00,0.29,11.4,1.325,0.332,11.5,1.136,0.284,11.7,1.15,100,8283,96.55,5.7
2025/11/15 13:00:00,0.29,11.3,1.32,0.332,11.4,1.136,0.284,11.7,1.15,100,8281,96.53,5.5
2025/11/15 14:00:00,0.29,11.1,1.324,0.332,11.4,1.136,0.284,11.8,1.152,100,8282,96.61,5.8
2025/11/15 15:00:00,0.29,11.0,1.322,0.332,11.3,1.136,0.284,11.8,1.152,100,8296,96.8,9.0
2025/11/15 16:00:00,0.29,10.9,1.319,0.332,11.2,1.134,0.284,11.8,1.152,100,8344,96.9,14.3
2025/11/15 17:00:00,0.29,11.0,1.319,0.332,11.2,1.135,0.284,11.8,1.152,100,8444,96.94,18.9
2025/11/15 18:00:00,0.29,11.2,1.316,0.332,11.2,1.135,0.284,11.8,1.149,100,8513,96.93,22.4
2025/11/15 19:00:00,0.289,11.4,1.319,0.332,11.2,1.135,0.284,11.8,1.152,100,8532,96.91,24.9
2025/11/15 20:00:00,0.289,11.6,1.312,0.332,11.2,1.135,0.284,11.8,1.149,100,8543,96.89,26.3
2025/11/15 21:00:00,0.289,11.8,1.317,0.332,11.3,1.135,0.284,11.8,1.152,100,8554,96.89,27.3
2025/11/15 22:00:00,0.289,12.1,1.317,0.332,11.4,1.133,0.284,11.8,1.152,100,8534,96.92,27.3
2025/11/15 23:00:00,0.288,12.2,1.305,0.332,11.5,1.132,0.284,11.9,1.149,100,8475,96.96,24.8
2025/11/16 00:00:00,0.288,12.3,1.305,0.332,11.6,1.132,0.284,11.9,1.149,100,8435,97.02,16.8
2025/11/16 01:00:00,0.288,12.2,1.308,0.332,11.7,1.132,0.284,11.9,1.149,100,8418,97.05,10.3
2025/11/16 02:00:00,0.288,12.1,1.309,0.331,11.8,1.131,0.284,11.9,1.149,100,8406,97.1,7.2
2025/11/16 03:00:00,0.288,12.0,1.319,0.331,11.8,1.132,0.284,12.0,1.149,100,8399,97.16,5.4
2025/11/16 04:00:00,0.288,11.8,1.323,0.331,11.8,1.132,0.284,12.0,1.149,100,8392,97.24,4.5
2025/11/16 05:00:00,0.288,11.6,1.324,0.331,11.7,1.135,0.284,12.0,1.149,100,8386,97.29,5.2
2025/11/16 06:00:00,0.289,11.4,1.318,0.331,11.7,1.132,0.284,12.0,1.149,100,8380,97.32,5.2
2025/11/16 07:00:00,0.289,11.2,1.319,0.331,11.6,1.135,0.284,12.1,1.146,100,8359,97.33,5.4
2025/11/16 08:00:00,0.289,11.1,1.32,0.331,11.5,1.136,0.284,12.1,1.146,100,8355,97.35,5.9
2025/11/16 09:00:00,0.289,11.0,1.324,0.331,11.5,1.136,0.284,12.1,1.146,100,8349,97.35,4.2
2025/11/16 10:00:00,0.289,10.8,1.321,0.331,11.4,1.136,0.284,12.1,1.146,100,8348,97.34,2.2
2025/11/16 11:00:00,0.289,10.6,1.325,0.331,11.3,1.137,0.284,12.1,1.148,100,8341,97.36,1.0
2025/11/16 12:00:00,0.289,10.5,1.326,0.331,11.2,1.135,0.284,12.1,1.145,100,8341,97.4,0.3
2025/11/16 13:00:00,0.289,10.3,1.324,0.332,11.1,1.135,0.284,12.1,1.146,100,8334,97.43,-0.3
2025/11/16 14:00:00,0.289,10.2,1.319,0.331,11.0,1.133,0.284,12.1,1.146,100,8333,97.47,0.1
