z6-12558,,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port4,Port4,Port4,Port4,Port5,Port5,Port7,Port7,Port8,Port8, 
# Records: 25523,,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ECRN-50 Precipitation,ECRN-50 Precipitation,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Water Content,raw  Soil Temperature,raw  Saturation Extract EC,raw  Air Temperature,raw  Vapor Pressure,raw  Atmospheric Pressure,raw  VPD,raw  Precipitation,raw  Max Precip Rate,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
2022/04/26 23:00:00,8018,26028,7127,2255,25993,6585,2372,28012,6400,2901,7141,437,9743,2.1114644608989708,0,1,2100,8626,9732,7294,UTC+00:00
2022/04/27 00:00:00,8019,26026,7135,2258,25991,6631,2369,28013,6400,2900,7100,433,9740,2.052153403113005,0,0,2100,8611,9727,7178,UTC+00:00
2022/04/27 01:00:00,8020,26026,7099,2259,25985,6667,2372,28013,6402,2899,6921,439,9739,1.7855965985794162,0,0,2100,8580,9726,6999,UTC+00:00
2022/04/27 02:00:00,8021,26029,7028,2261,25980,6693,2372,28016,6410,2899,6615,486,9740,1.3482987041902392,0,0,2100,8558,9726,6638,UTC+00:00
2022/04/27 03:00:00,8022,26036,6939,2260,25975,6708,2376,28016,6416,2901,6436,506,9742,1.1290455547729963,0,0,2100,8542,9727,6409,UTC+00:00
2022/04/27 04:00:00,8023,26042,6854,2258,25975,6710,2375,28018,6420,2902,6363,520,9742,1.0394145993609265,0,0,2100,8529,9727,6298,UTC+00:00
2022/04/27 05:00:00,8024,26046,6779,2262,25976,6703,2377,28022,6430,2902,6354,529,9737,1.0213066597696199,0,0,2100,8523,9722,6280,UTC+00:00
2022/04/27 06:00:00,8026,26051,6716,2261,25975,6688,2378,28025,6437,2903,6317,534,9733,0.9793524528924842,0,0,2100,8498,9718,6273,UTC+00:00
2022/04/27 07:00:00,8027,26052,6662,2259,25977,6673,2378,28026,6442,2904,6270,532,9729,0.9355290970916226,0,0,2100,8495,9714,6221,UTC+00:00
2022/04/27 08:00:00,8028,26054,6617,2257,25977,6655,2377,28027,6450,2904,6259,531,9722,0.9259824369735256,0,0,2100,8488,9707,6211,UTC+00:00
2022/04/27 09:00:00,8029,26055,6577,2256,25977,6637,2372,28031,6450,2903,6221,539,9716,0.8820597576316017,0,0,2100,8479,9702,6168,UTC+00:00
2022/04/27 10:00:00,8030,26054,6539,2255,25979,6619,2376,28033,6460,2903,6130,549,9712,0.7891841928127546,0,0,2100,8475,9698,6083,UTC+00:00
2022/04/27 11:00:00,8031,26056,6502,2256,25981,6600,2377,28034,6460,2902,6149,563,9708,0.7921274521007589,0,0,2100,8472,9693,6073,UTC+00:00
2022/04/27 12:00:00,8032,26058,6467,2256,25981,6581,2376,28036,6460,2902,6160,566,9705,0.7990227751835138,0,0,2100,8465,9690,6086,UTC+00:00
2022/04/27 13:00:00,8033,26056,6440,2256,25982,6563,2377,28037,6460,2903,6287,579,9703,0.9049605966351908,0,0,2100,8500,9689,6223,UTC+00:00
2022/04/27 14:00:00,8034,26053,6430,2253,25984,6545,2377,28038,6460,2903,6501,630,9700,1.075082236354032,0,0,2100,8589,9686,6520,UTC+00:00
2022/04/27 15:00:00,8035,26046,6446,2252,25982,6529,2376,28037,6460,2903,6851,746,9694,1.3834132216547967,0,0,2100,8683,9680,6897,UTC+00:00
2022/04/27 16:00:00,8036,26036,6503,2251,25983,6519,2375,28038,6460,2903,7114,815,9687,1.6916151620489819,0,0,2100,8740,9674,7212,UTC+00:00
2022/04/27 17:00:00,8037,26024,6596,2249,25981,6512,2376,28037,6460,2903,7303,858,9681,1.9546469030759774,0,0,2100,8753,9668,7476,UTC+00:00
2022/04/27 18:00:00,8038,26011,6710,2250,25981,6523,2375,28036,6453,2904,7464,927,9674,2.171629968165908,0,0,2100,8743,9661,7668,UTC+00:00
2022/04/27 19:00:00,8039,25996,6836,2251,25977,6540,2375,28035,6450,2904,7585,997,9666,2.3329817407985654,0,0,2100,8715,9654,7807,UTC+00:00
