z6-12558,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port7,Port7,Port8,Port8
# Records: 3025,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Battery,Battery,Barometer,Barometer
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2025/11/20 23:00:00,0.348,13.2,1.904,0.34,13.1,2.065,0.296,13.5,2.605,90,7718,96.54,13.9
2025/11/21 00:00:00,0.343,12.8,1.958,0.341,12.8,2.071,0.297,13.3,2.616,90,7716,96.49,11.9
2025/11/21 01:00:00,0.343,12.8,1.958,0.341,12.8,2.074,0.297,13.2,2.617,89,7713,96.45,10.6
2025/11/21 02:00:00,0.343,12.7,1.958,0.341,12.8,2.072,0.297,13.2,2.611,89,7712,96.51,9.8
2025/11/21 03:00:00,0.343,12.6,1.959,0.342,12.8,2.07,0.297,13.2,2.617,89,7711,96.52,9.2
2025/11/21 04:00:00,0.345,12.4,1.95,0.342,12.9,2.07,0.297,13.2,2.622,89,7710,96.45,9.0
2025/11/21 05:00:00,0.374,12.3,1.8,0.342,12.8,2.071,0.297,13.2,2.622,88,7707,96.43,8.9
2025/11/21 06:00:00,0.42,12.1,1.603,0.342,12.8,2.07,0.297,13.2,2.622,88,7704,96.39,8.6
2025/11/21 07:00:00,0.428,12.0,1.652,0.343,12.8,2.064,0.297,13.2,2.628,87,7691,96.33,8.1
2025/11/21 08:00:00,0.434,11.8,1.653,0.357,12.8,1.991,0.297,13.3,2.627,87,7693,96.31,7.8
2025/11/21 09:00:00,0.438,11.5,1.647,0.386,12.7,1.906,0.297,13.3,2.634,87,7693,96.18,7.6
2025/11/21 10:00:00,0.432,11.4,1.675,0.39,12.6,1.928,0.297,13.3,2.627,87,7692,96.14,7.6
2025/11/21 11:00:00,0.431,11.3,1.682,0.389,12.6,1.939,0.297,13.3,2.625,87,7693,96.14,7.9
2025/11/21 12:00:00,0.433,11.2,1.665,0.39,12.5,1.936,0.298,13.3,2.623,87,7692,96.15,8.0
2025/11/21 13:00:00,0.443,11.1,1.621,0.398,12.4,1.915,0.304,13.2,2.635,87,7693,96.14,7.8
2025/11/21 14:00:00,0.437,10.8,1.65,0.396,12.3,1.933,0.36,13.2,2.503,86,7689,96.17,7.3
2025/11/21 15:00:00,0.436,10.8,1.652,0.394,12.2,1.941,0.37,13.2,2.488,86,7690,96.2,7.0
2025/11/21 16:00:00,0.438,10.7,1.641,0.395,12.2,1.934,0.376,13.2,2.432,87,7692,96.23,6.9
2025/11/21 17:00:00,0.437,10.6,1.645,0.395,12.1,1.934,0.384,13.2,2.365,87,7697,96.26,7.1
2025/11/21 18:00:00,0.436,10.6,1.652,0.394,12.0,1.941,0.392,13.1,2.304,87,7693,96.26,7.2
2025/11/21 19:00:00,0.436,10.6,1.648,0.394,12.0,1.942,0.396,13.1,2.273,87,7697,96.23,7.2
2025/11/21 20:00:00,0.435,10.6,1.655,0.394,11.9,1.944,0.399,13.1,2.246,87,7698,96.22,7.0
2025/11/21 21:00:00,0.434,10.6,1.659,0.393,11.9,1.944,0.4,13.1,2.238,87,7694,96.25,6.7
2025/11/21 22:00:00,0.438,10.6,1.638,0.394,11.9,1.942,0.401,13.0,2.235,87,7697,96.3,6.6
2025/11/21 23:00:00,0.436,10.5,1.649,0.395,11.8,1.936,0.403,13.0,2.228,87,7694,96.34,6.0
2025/11/22 00:00:00,0.435,10.5,1.654,0.394,11.8,1.94,0.404,13.0,2.219,87,7691,96.44,5.1
2025/11/22 01:00:00,0.434,10.4,1.661,0.394,11.8,1.94,0.405,13.0,2.212,87,7692,96.51,4.7
2025/11/22 02:00:00,0.432,10.3,1.674,0.393,11.7,1.94,0.405,13.0,2.208,87,7691,96.55,4.6
2025/11/22 03:00:00,0.431,10.2,1.678,0.392,11.7,1.944,0.404,12.9,2.21,86,7689,96.65,4.6
2025/11/22 04:00:00,0.43,10.1,1.684,0.392,11.7,1.946,0.404,12.9,2.207,86,7689,96.72,4.6
2025/11/22 05:00:00,0.429,10.1,1.69,0.392,11.6,1.943,0.404,12.9,2.203,86,7686,96.76,4.4
2025/11/22 06:00:00,0.428,10.0,1.694,0.391,11.6,1.947,0.404,12.9,2.199,86,7685,96.79,4.3
2025/11/22 07:00:00,0.428,9.9,1.699,0.391,11.5,1.95,0.404,12.9,2.201,85,7682,96.84,4.2
2025/11/22 08:00:00,0.427,9.8,1.697,0.391,11.5,1.951,0.403,12.8,2.198,85,7681,96.88,3.8
