z6-12558,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port4,Port4,Port4,Port4,Port5,Port5,Port7,Port7,Port8,Port8
# Records: 7165,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ECRN-100 Precipitation,ECRN-100 Precipitation,Battery,Battery,Barometer,Barometer
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, °C Air Temperature, kPa Vapor Pressure, kPa Atmospheric Pressure, kPa VPD, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2021/06/30 19:00:00,0.213,25.5,0.428,0.148,24.3,,0.369,23.5,2.417,26.5,2.792,97.01,0.68,0.0,0.0,100,8336,96.93,27.9
2021/06/30 20:00:00,0.212,26.0,0.429,0.148,24.5,,0.368,23.4,2.419,26.2,2.753,96.97,0.64,0.0,0.0,100,8343,96.88,27.4
2021/06/30 21:00:00,0.211,26.3,0.431,0.148,24.7,,0.368,23.4,2.42,27.3,2.779,96.94,0.85,0.0,0.0,100,8389,96.84,28.9
2021/06/30 22:00:00,0.209,26.9,0.43,0.148,24.9,,0.368,23.4,2.415,27.6,2.719,96.89,0.98,0.0,0.0,100,8391,96.8,30.0
2021/06/30 23:00:00,0.208,27.5,0.431,0.148,25.1,,0.368,23.4,2.416,26.7,2.683,96.88,0.81,0.0,0.0,100,8372,96.79,28.9
2021/07/01 00:00:00,0.208,27.6,0.432,0.148,25.4,,0.368,23.4,2.418,26.2,2.7,96.83,0.71,0.0,0.0,100,8364,96.75,27.2
2021/07/01 01:00:00,0.208,27.4,0.434,0.148,25.6,,0.368,23.5,2.417,26.4,2.713,96.83,0.73,0.0,0.0,100,8354,96.74,27.6
2021/07/01 02:00:00,0.208,27.1,0.436,0.148,25.7,,0.368,23.5,2.417,24.8,2.657,96.86,0.47,0.0,0.0,100,8331,96.77,25.6
2021/07/01 03:00:00,0.208,26.7,0.436,0.148,25.7,,0.368,23.5,2.423,23.2,2.637,96.88,0.2,0.0,0.0,100,8318,96.79,23.2
2021/07/01 04:00:00,0.208,26.2,0.437,0.148,25.6,,0.368,23.5,2.423,22.6,2.642,96.9,0.09,0.0,0.0,100,8309,96.81,22.1
2021/07/01 05:00:00,0.208,25.8,0.438,0.148,25.5,,0.368,23.6,2.422,22.4,2.657,96.88,0.05,0.0,0.0,100,8299,96.78,21.8
2021/07/01 06:00:00,0.208,25.4,0.438,0.148,25.4,,0.368,23.6,2.422,22.2,2.625,96.87,0.05,0.0,0.0,100,8285,96.77,21.8
2021/07/01 07:00:00,0.209,25.1,0.437,0.148,25.2,,0.368,23.6,2.417,21.4,2.549,96.86,0.0,0.0,0.0,100,8279,96.76,21.1
2021/07/01 08:00:00,0.209,24.8,0.436,0.148,25.0,,0.368,23.6,2.416,21.6,2.584,96.83,0.0,0.0,0.0,100,8274,96.74,21.2
2021/07/01 09:00:00,0.209,24.5,0.436,0.148,24.9,,0.368,23.7,2.421,21.5,2.569,96.8,0.0,0.0,0.0,100,8267,96.7,21.2
2021/07/01 10:00:00,0.209,24.3,0.438,0.148,24.7,,0.368,23.7,2.421,21.0,2.491,96.8,0.0,0.0,0.0,100,8263,96.7,20.7
2021/07/01 11:00:00,0.209,24.1,0.436,0.148,24.6,,0.367,23.7,2.422,21.1,2.498,96.82,0.0,0.0,0.0,100,8258,96.73,20.7
2021/07/01 12:00:00,0.209,23.8,0.435,0.148,24.4,,0.367,23.7,2.422,20.9,2.46,96.84,0.01,0.0,0.0,100,8252,96.76,20.5
2021/07/01 13:00:00,0.209,23.7,0.436,0.148,24.3,,0.367,23.6,2.43,21.3,2.49,96.89,0.04,0.0,0.0,100,8251,96.8,20.8
2021/07/01 14:00:00,0.209,23.6,0.436,0.148,24.2,,0.367,23.6,2.424,22.1,2.595,96.89,0.07,0.0,0.0,100,8257,96.8,21.9
2021/07/01 15:00:00,0.209,23.7,0.435,0.148,24.1,,0.367,23.6,2.425,23.1,2.605,96.93,0.22,0.0,0.0,100,8263,96.84,23.0
2021/07/01 16:00:00,0.208,23.9,0.437,0.148,24.0,,0.367,23.6,2.426,24.0,2.582,96.97,0.4,0.0,0.0,100,8276,96.87,24.2
2021/07/01 17:00:00,0.208,24.1,0.436,0.148,24.0,,0.367,23.5,2.427,25.0,2.558,97.01,0.6,0.0,0.0,100,8290,96.91,25.5
2021/07/01 18:00:00,0.207,24.5,0.437,0.148,24.0,,0.367,23.5,2.429,25.9,2.391,96.96,0.94,0.0,0.0,100,8309,96.88,26.7
2021/07/01 19:00:00,0.206,24.9,0.437,0.148,24.1,,0.367,23.5,2.435,26.4,2.256,96.91,1.17,0.0,0.0,100,8344,96.83,27.3
2021/07/01 20:00:00,0.204,25.4,0.436,0.148,24.2,,0.366,23.5,2.437,27.3,2.132,96.86,1.5,0.0,0.0,100,8368,96.79,28.9
2021/07/01 21:00:00,0.202,26.1,0.437,0.148,24.4,,0.366,23.4,2.434,28.0,2.143,96.84,1.64,0.0,0.0,100,8403,96.75,29.8
2021/07/01 22:00:00,0.2,26.8,0.436,0.148,24.7,,0.366,23.4,2.434,29.0,2.059,96.83,1.95,0.0,0.0,100,8418,96.74,31.6
2021/07/01 23:00:00,0.199,27.6,0.437,0.148,25.0,,0.366,23.4,2.43,28.0,1.989,96.81,1.79,0.0,0.0,100,8403,96.74,30.3
2021/07/02 00:00:00,0.198,27.8,0.438,0.148,25.3,,0.366,23.4,2.432,27.4,2.01,96.79,1.63,0.0,0.0,100,8388,96.72,28.9
2021/07/02 01:00:00,0.197,27.6,0.44,0.148,25.5,,0.366,23.4,2.432,27.2,1.974,96.81,1.62,0.0,0.0,100,8374,96.74,28.1
2021/07/02 02:00:00,0.197,27.2,0.441,0.148,25.7,,0.365,23.4,2.434,25.0,2.015,96.85,1.14,0.0,0.0,100,8349,96.78,25.8
2021/07/02 03:00:00,0.197,26.7,0.444,0.148,25.7,,0.365,23.5,2.433,23.1,2.048,96.88,0.78,0.0,0.0,100,8338,96.81,22.7
2021/07/02 04:00:00,0.198,26.1,0.443,0.148,25.6,,0.365,23.5,2.433,22.4,2.088,96.94,0.62,0.0,0.0,100,8325,96.86,21.5
2021/07/02 05:00:00,0.198,25.6,0.443,0.148,25.4,,0.365,23.5,2.433,21.6,2.089,96.96,0.48,0.0,0.0,100,8316,96.89,20.8
2021/07/02 06:00:00,0.198,25.1,0.443,0.148,25.3,,0.365,23.6,2.433,21.1,2.114,96.97,0.39,0.0,0.0,100,8306,96.91,20.3
2021/07/02 07:00:00,0.198,24.6,0.442,0.148,25.0,,0.365,23.6,2.432,20.6,2.117,96.98,0.31,0.0,0.0,100,8299,96.91,19.9
2021/07/02 08:00:00,0.199,24.2,0.443,0.147,24.8,,0.365,23.6,2.433,20.2,2.12,96.97,0.25,0.0,0.0,100,8295,96.91,19.3
2021/07/02 09:00:00,0.199,23.9,0.443,0.147,24.6,,0.365,23.6,2.439,19.8,2.11,96.99,0.19,0.0,0.0,100,8291,96.92,19.0
2021/07/02 10:00:00,0.199,23.6,0.444,0.147,24.4,,0.365,23.6,2.439,19.2,2.116,97.0,0.11,0.0,0.0,100,8282,96.93,18.4
2021/07/02 11:00:00,0.199,23.2,0.443,0.147,24.2,,0.365,23.6,2.44,19.2,2.113,97.01,0.12,0.0,0.0,100,8279,96.94,18.4
2021/07/02 12:00:00,0.2,23.0,0.441,0.148,24.0,,0.365,23.6,2.445,18.8,2.114,97.05,0.05,0.0,0.0,100,8273,96.98,18.1
2021/07/02 13:00:00,0.2,22.7,0.439,0.147,23.8,,0.365,23.5,2.447,20.5,2.252,97.08,0.16,0.0,0.0,100,8269,97.01,20.0
2021/07/02 14:00:00,0.2,22.6,0.439,0.147,23.6,,0.365,23.5,2.436,22.4,2.368,97.14,0.33,0.0,0.0,100,8270,97.05,23.2
2021/07/02 15:00:00,0.199,22.7,0.44,0.147,23.5,,0.365,23.5,2.431,25.0,2.529,97.17,0.63,0.0,0.0,100,8279,97.08,26.6
2021/07/02 16:00:00,0.197,23.2,0.442,0.147,23.4,,0.365,23.4,2.434,26.8,2.529,97.14,0.98,0.0,0.0,100,8290,97.07,28.7
2021/07/02 17:00:00,0.195,24.2,0.442,0.147,23.4,,0.364,23.4,2.43,28.3,2.358,97.15,1.48,0.0,0.0,100,8327,97.07,30.3
2021/07/02 18:00:00,0.193,25.3,0.443,0.147,23.6,,0.364,23.4,2.426,29.4,2.25,97.14,1.85,0.0,0.0,100,8371,97.05,31.4
2021/07/02 19:00:00,0.19,26.6,0.443,0.147,24.0,,0.364,23.3,2.424,30.1,2.107,97.11,2.17,0.0,0.0,100,8403,97.02,32.3
2021/07/02 20:00:00,0.188,28.0,0.444,0.147,24.4,,0.363,23.3,2.421,30.5,1.842,97.06,2.52,0.0,0.0,100,8430,96.98,32.6
2021/07/02 21:00:00,0.186,29.1,0.444,0.147,25.0,,0.363,23.3,2.417,31.3,1.683,97.0,2.88,0.0,0.0,100,8441,96.94,33.6
2021/07/02 22:00:00,0.184,30.1,0.445,0.147,25.5,,0.363,23.3,2.42,31.3,1.608,96.95,2.95,0.0,0.0,100,8440,96.89,33.7
2021/07/02 23:00:00,0.182,30.6,0.447,0.147,26.1,,0.363,23.3,2.421,31.2,1.655,96.9,2.89,0.0,0.0,100,8432,96.84,33.4
2021/07/03 00:00:00,0.181,30.6,0.448,0.147,26.6,,0.362,23.3,2.423,30.6,1.688,96.86,2.69,0.0,0.0,100,8414,96.79,32.2
2021/07/03 01:00:00,0.181,30.2,0.449,0.147,26.9,,0.362,23.4,2.424,29.3,1.821,96.85,2.25,0.0,0.0,100,8387,96.78,30.2
2021/07/03 02:00:00,0.181,29.5,0.451,0.147,27.0,,0.362,23.4,2.43,25.6,1.99,96.84,1.28,0.0,0.0,100,8360,96.77,26.3
2021/07/03 03:00:00,0.181,28.7,0.453,0.147,27.0,,0.362,23.5,2.435,23.0,1.911,96.86,0.9,0.0,0.0,100,8342,96.8,22.8
2021/07/03 04:00:00,0.181,27.9,0.454,0.147,26.9,,0.362,23.6,2.439,23.9,1.818,96.94,1.15,0.0,0.0,100,8332,96.87,23.0
2021/07/03 05:00:00,0.181,27.2,0.452,0.147,26.7,,0.362,23.6,2.438,23.1,1.774,96.98,1.06,0.0,0.0,100,8320,96.92,22.5
2021/07/03 06:00:00,0.182,26.5,0.452,0.146,26.4,,0.362,23.7,2.437,22.7,1.743,97.02,1.01,0.0,0.0,100,8306,96.96,22.0
2021/07/03 07:00:00,0.182,26.0,0.452,0.146,26.2,,0.362,23.8,2.442,22.3,1.706,97.03,0.99,0.0,0.0,100,8298,96.97,21.6
2021/07/03 08:00:00,0.182,25.4,0.453,0.146,25.9,,0.362,23.8,2.442,20.8,1.685,97.0,0.78,0.0,0.0,100,8289,96.94,20.5
2021/07/03 09:00:00,0.182,25.0,0.452,0.146,25.6,,0.362,23.8,2.442,18.7,1.71,96.99,0.44,0.0,0.0,100,8285,96.93,18.2
2021/07/03 10:00:00,0.183,24.5,0.451,0.146,25.3,,0.362,23.9,2.441,18.1,1.687,96.98,0.39,0.0,0.0,100,8279,96.93,16.9
2021/07/03 11:00:00,0.183,24.1,0.45,0.146,25.1,,0.362,23.9,2.441,18.2,1.668,96.98,0.41,0.0,0.0,100,8274,96.93,16.6
2021/07/03 12:00:00,0.183,23.6,0.448,0.146,24.8,,0.362,23.9,2.447,18.2,1.667,97.0,0.42,0.0,0.0,100,8270,96.94,16.6
2021/07/03 13:00:00,0.183,23.3,0.446,0.146,24.5,,0.362,23.8,2.449,20.3,1.799,97.0,0.58,0.0,0.0,100,8272,96.94,19.5
2021/07/03 14:00:00,0.183,23.0,0.447,0.146,24.3,,0.362,23.8,2.443,23.0,1.856,97.03,0.96,0.0,0.0,100,8273,96.95,24.3
2021/07/03 15:00:00,0.182,23.0,0.449,0.146,24.1,,0.362,23.8,2.439,25.2,1.885,97.04,1.32,0.0,0.0,100,8273,96.96,27.3
2021/07/03 16:00:00,0.181,23.4,0.448,0.146,23.9,,0.361,23.7,2.436,27.2,1.934,97.02,1.67,0.0,0.0,100,8286,96.95,29.6
2021/07/03 17:00:00,0.179,24.3,0.447,0.146,23.9,,0.361,23.7,2.437,28.7,1.898,97.0,2.04,0.0,0.0,100,8318,96.93,31.4
2021/07/03 18:00:00,0.177,25.5,0.448,0.146,24.0,,0.361,23.6,2.436,30.1,1.896,96.97,2.37,0.0,0.0,100,8353,96.89,32.9
2021/07/03 19:00:00,0.175,26.8,0.449,0.146,24.3,,0.36,23.6,2.433,30.2,1.899,96.91,2.39,0.0,0.0,100,8372,96.84,33.4
2021/07/03 20:00:00,0.174,27.9,0.45,0.146,24.7,,0.36,23.6,2.425,31.8,1.918,96.86,2.77,0.0,0.0,100,8406,96.78,34.6
2021/07/03 21:00:00,0.172,29.1,0.451,0.146,25.2,,0.36,23.5,2.428,31.5,1.874,96.81,2.74,0.0,0.0,100,8398,96.74,34.9
2021/07/03 22:00:00,0.171,30.0,0.453,0.146,25.7,,0.359,23.5,2.43,31.5,1.869,96.76,2.75,0.0,0.0,100,8410,96.68,34.3
2021/07/03 23:00:00,0.169,30.4,0.454,0.146,26.2,,0.359,23.5,2.427,30.6,1.849,96.72,2.55,0.0,0.0,100,8398,96.65,33.3
2021/07/04 00:00:00,0.169,30.4,0.456,0.146,26.7,,0.359,23.5,2.434,30.6,1.861,96.68,2.52,0.0,0.0,100,8384,96.61,33.2
2021/07/04 01:00:00,0.168,30.0,0.458,0.145,26.9,,0.359,23.6,2.433,29.4,1.943,96.68,2.14,0.0,0.0,100,8358,96.6,31.4
2021/07/04 02:00:00,0.168,29.4,0.458,0.145,27.1,,0.359,23.6,2.435,26.8,1.965,96.64,1.55,0.0,0.0,100,8336,96.58,27.9
2021/07/04 03:00:00,0.168,28.8,0.458,0.145,27.1,,0.358,23.7,2.434,25.3,1.923,96.65,1.31,0.0,0.0,100,8318,96.59,25.2
2021/07/04 04:00:00,0.168,28.1,0.46,0.145,27.0,,0.358,23.8,2.439,24.3,1.945,96.72,1.09,0.0,0.0,100,8307,96.66,23.8
