z6-12548,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port4,Port4,Port4,Port4,Port5,Port5,Port7,Port7,Port8,Port8
# Records: 1219,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ATMOS 14 Humidity/Temp/Barometer,ECRN-100 Precipitation,ECRN-100 Precipitation,Battery,Battery,Barometer,Barometer
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, °C Air Temperature, kPa Vapor Pressure, kPa Atmospheric Pressure, kPa VPD, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2021/06/30 19:00:00,0.227,27.0,0.474,0.234,25.1,1.152,0.286,23.8,2.075,26.6,2.827,97.72,0.66,0.0,0.0,100,8242,97.63,28.8
2021/06/30 20:00:00,0.228,27.5,0.477,0.234,25.3,1.148,0.286,23.8,2.075,26.4,2.81,97.68,0.63,0.0,0.0,100,8257,97.58,28.3
2021/06/30 21:00:00,0.228,27.9,0.477,0.234,25.5,1.129,0.286,23.8,2.075,27.1,2.803,97.64,0.79,0.0,0.0,100,8291,97.55,29.0
2021/06/30 22:00:00,0.228,28.4,0.479,0.234,25.8,1.137,0.286,23.8,2.075,28.1,2.792,97.59,1.02,0.0,0.0,100,8307,97.5,30.4
2021/06/30 23:00:00,0.228,29.1,0.479,0.234,26.0,1.141,0.286,23.8,2.075,26.9,2.756,97.59,0.79,0.0,0.0,100,8289,97.49,29.1
2021/07/01 00:00:00,0.227,29.3,0.482,0.234,26.3,1.136,0.286,23.8,2.075,26.5,2.817,97.55,0.65,0.0,0.0,100,8282,97.45,27.2
2021/07/01 01:00:00,0.227,29.2,0.483,0.234,26.5,1.14,0.286,23.8,2.076,27.1,2.816,97.53,0.77,0.0,0.0,100,8266,97.44,27.8
2021/07/01 02:00:00,0.227,28.9,0.487,0.234,26.6,1.144,0.286,23.8,2.075,25.1,2.755,97.57,0.44,0.0,0.0,100,8251,97.47,25.5
2021/07/01 03:00:00,0.226,28.4,0.493,0.234,26.7,1.147,0.286,23.8,2.075,23.0,2.681,97.59,0.13,0.0,0.0,100,8240,97.5,22.9
2021/07/01 04:00:00,0.226,27.8,0.495,0.234,26.7,1.147,0.286,23.8,2.08,21.9,2.588,97.62,0.03,0.0,0.0,100,8226,97.51,21.4
2021/07/01 05:00:00,0.226,27.3,0.493,0.234,26.6,1.148,0.286,23.8,2.08,21.6,2.582,97.6,0.0,0.0,0.0,100,8216,97.49,21.1
2021/07/01 06:00:00,0.226,26.8,0.493,0.234,26.5,1.144,0.286,23.8,2.079,21.4,2.542,97.6,0.0,0.0,0.0,100,8199,97.49,21.0
2021/07/01 07:00:00,0.226,26.4,0.489,0.234,26.3,1.142,0.286,23.9,2.078,20.9,2.477,97.59,0.0,0.0,0.0,100,8191,97.48,20.5
