z6-12559,Port1,Port1,Port1,Port2,Port2,Port2,Port3,Port3,Port3,Port7,Port7,Port8,Port8
# Records: 3025,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,Battery,Battery,Barometer,Barometer
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2025/11/20 23:00:00,0.311,11.9,1.178,0.272,11.8,0.782,0.271,12.4,1.528,100,8412,97.18,13.6
2025/11/21 00:00:00,0.311,12.0,1.18,0.272,11.9,0.782,0.271,12.4,1.531,100,8397,97.13,12.6
2025/11/21 01:00:00,0.31,12.0,1.183,0.272,11.9,0.782,0.271,12.4,1.531,100,8384,97.1,11.3
2025/11/21 02:00:00,0.31,12.0,1.183,0.272,12.0,0.78,0.271,12.4,1.525,100,8371,97.16,10.5
2025/11/21 03:00:00,0.311,12.0,1.183,0.272,12.0,0.781,0.27,12.4,1.53,100,8361,97.18,9.8
2025/11/21 04:00:00,0.318,11.9,1.162,0.272,12.0,0.781,0.27,12.4,1.534,100,8350,97.1,9.3
2025/11/21 05:00:00,0.35,11.9,1.111,0.272,12.0,0.779,0.27,12.4,1.534,100,8342,97.08,9.3
2025/11/21 06:00:00,0.374,11.8,1.327,0.272,12.0,0.781,0.27,12.4,1.534,100,8334,97.04,9.0
2025/11/21 07:00:00,0.376,11.7,1.389,0.274,12.0,0.786,0.27,12.4,1.53,100,8309,96.99,8.5
2025/11/21 08:00:00,0.379,11.6,1.393,0.29,12.0,0.779,0.27,12.4,1.53,100,8308,96.95,8.1
2025/11/21 09:00:00,0.382,11.5,1.41,0.311,12.0,0.828,0.27,12.5,1.516,100,8307,96.84,7.9
2025/11/21 10:00:00,0.373,11.4,1.415,0.32,11.9,0.898,0.27,12.5,1.508,100,8302,96.8,8.0
2025/11/21 11:00:00,0.368,11.4,1.404,0.322,11.9,0.878,0.271,12.5,1.508,100,8301,96.79,8.2
2025/11/21 12:00:00,0.372,11.4,1.397,0.323,11.8,0.896,0.271,12.5,1.5,100,8298,96.81,8.4
2025/11/21 13:00:00,0.388,11.2,1.415,0.335,11.8,0.98,0.27,12.5,1.427,100,8291,96.78,8.2
2025/11/21 14:00:00,0.377,11.1,1.408,0.34,11.7,1.046,0.269,12.4,1.364,100,8282,96.83,7.8
2025/11/21 15:00:00,0.374,11.1,1.391,0.34,11.7,1.083,0.269,12.4,1.372,100,8279,96.87,7.4
2025/11/21 16:00:00,0.38,11.0,1.401,0.343,11.6,1.117,0.268,12.4,1.364,100,8270,96.9,7.4
2025/11/21 17:00:00,0.379,11.0,1.4,0.346,11.6,1.174,0.268,12.4,1.35,100,8270,96.92,7.7
2025/11/21 18:00:00,0.374,11.0,1.384,0.345,11.6,1.197,0.267,12.4,1.333,100,8267,96.92,7.7
2025/11/21 19:00:00,0.377,11.0,1.381,0.346,11.5,1.212,0.267,12.4,1.337,100,8271,96.89,7.7
2025/11/21 20:00:00,0.375,11.0,1.376,0.347,11.5,1.237,0.267,12.4,1.342,100,8265,96.88,7.6
2025/11/21 21:00:00,0.372,11.0,1.361,0.346,11.5,1.257,0.268,12.4,1.339,100,8265,96.91,7.2
2025/11/21 22:00:00,0.374,11.0,1.369,0.346,11.5,1.27,0.269,12.4,1.331,100,8263,96.96,7.2
2025/11/21 23:00:00,0.374,10.9,1.363,0.348,11.5,1.279,0.269,12.4,1.333,100,8260,97.0,6.5
2025/11/22 00:00:00,0.371,10.9,1.359,0.347,11.4,1.289,0.27,12.3,1.334,100,8257,97.1,5.6
2025/11/22 01:00:00,0.368,10.9,1.348,0.347,11.4,1.297,0.271,12.3,1.293,100,8252,97.18,5.2
2025/11/22 02:00:00,0.365,10.9,1.349,0.346,11.4,1.299,0.274,12.3,1.292,100,8249,97.22,5.2
2025/11/22 03:00:00,0.363,10.8,1.34,0.345,11.4,1.301,0.276,12.3,1.283,100,8244,97.32,5.1
2025/11/22 04:00:00,0.362,10.8,1.338,0.345,11.4,1.303,0.278,12.3,1.266,100,8238,97.38,5.1
2025/11/22 05:00:00,0.361,10.7,1.336,0.345,11.3,1.305,0.279,12.3,1.268,100,8232,97.43,4.9
2025/11/22 06:00:00,0.36,10.7,1.333,0.344,11.3,1.306,0.28,12.3,1.273,100,8227,97.46,4.9
2025/11/22 07:00:00,0.36,10.6,1.33,0.344,11.3,1.308,0.281,12.3,1.267,100,8221,97.51,4.8
2025/11/22 08:00:00,0.359,10.6,1.332,0.343,11.2,1.306,0.282,12.3,1.241,100,8218,97.54,4.4
